game_date,game_id,goalie_name,betting_line,goalie_id,team_abbrev,opponent_team,is_home,predicted_saves,prob_over,confidence_pct,confidence_bucket,recommendation,bet_amount,bet_selection,actual_saves,result,profit_loss,notes,line_over,line_under,ev,book
2026-01-04,2025020657,oettinger,22.5,8479979.0,DAL,MTL,1,22.60000038146973,0.5244908332824707,4.898166656494141,50-55%,NO BET,,NONE,25.0,NO BET,0.0,,,,,
2026-01-04,2025020661,schmid,20.5,8481033.0,VGK,CHI,0,20.60000038146973,0.5160665512084961,3.213310241699219,50-55%,NO BET,,NONE,17.0,NO BET,0.0,,,,,
2026-01-04,2025020661,Soderblom,25.5,8482821.0,CHI,VGK,1,25.39999961853027,0.4777129590511322,4.45740795135498,50-55%,NO BET,,NONE,13.0,NO BET,0.0,,,,,
2026-01-04,2025020660,Bussi,23.5,8483548.0,CAR,NJD,0,23.5,0.4905944764614105,1.881104707717896,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,,,,
2026-01-04,2025020660,Allen,25.5,8474596.0,NJD,CAR,1,25.5,0.509484052658081,1.896810531616211,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,,,,
2026-01-04,2025020659,Wedgewood,24.5,8475809.0,COL,FLA,0,24.60000038146973,0.5242565274238586,4.851305484771729,50-55%,NO BET,,NONE,23.0,NO BET,0.0,,,,,
2026-01-04,2025020659,Bobrovsky,25.5,8475683.0,FLA,COL,1,25.39999961853027,0.4728188216686249,5.436235427856445,50-55%,NO BET,,NONE,0.0,NO BET,0.0,,,,,
2026-01-04,2025020658,silovs,24.5,8481668.0,PIT,CBJ,0,24.20000076293945,0.4449719786643982,11.0056037902832,55-60%,UNDER,1.0,UNDER,21.0,WIN,0.9090909090909092,,,,,
2026-01-04,2025020658,Greaves,24.5,8482982.0,CBJ,PIT,1,24.60000038146973,0.5212882161140442,4.257643222808838,50-55%,NO BET,,NONE,38.0,NO BET,0.0,,,,,
2026-01-04,2025020657,montembeault,22.5,8478470.0,MTL,DAL,0,22.29999923706055,0.4697287678718567,6.054246425628662,50-55%,NO BET,,NONE,24.0,NO BET,0.0,,,,,
2026-01-05,2025020662,shesterkin,24.5,8478048.0,NYR,UTA,1,24.5,0.4933153092861176,1.336938142776489,50-55%,NO BET,,NONE,9.0,NO BET,0.0,,,,,
2026-01-05,2025020662,Vejmelka,21.5,8478872.0,UTA,NYR,0,21.5,0.4965449273586273,0.6910145282745361,50-55%,NO BET,,NONE,22.0,NO BET,0.0,,,,,
2026-01-05,2025020663,Lindgren,24.5,8479292.0,WSH,ANA,1,24.5,0.5056146383285522,1.122927665710449,50-55%,NO BET,,NONE,41.0,NO BET,0.0,,,,,
