feature,importance
saves_rolling_5,0.8325882
saves_ewa_3,0.13757825
saves_rolling_3,0.028775482
saves_rolling_std_3,0.00044255238
team_goals,0.00015313028
save_percentage,0.00012980225
shots_against,7.1572416e-05
opp_shots,4.4586024e-05
even_strength_saves,3.348462e-05
total_shots_against,2.0106645e-05
even_strength_save_pct_ewa_3,1.6516131e-05
low_danger_saves,1.633821e-05
low_danger_shots_against,1.22169695e-05
rebounds_created,9.2764185e-06
even_strength_save_pct,8.4681105e-06
power_play_shots_against,7.37127e-06
total_xg_against,6.7235956e-06
even_strength_shots_against,6.225609e-06
goals_against,4.7462095e-06
team_shots,4.433867e-06
avg_shot_distance,4.274532e-06
short_handed_saves,4.084392e-06
team_shooting_pct,3.996592e-06
total_xg_against_rolling_3,3.8284793e-06
short_handed_shots_against,3.77735e-06
avg_shot_angle,3.7305729e-06
power_play_save_pct,3.7202512e-06
high_danger_shots_against,3.697161e-06
low_danger_save_pct,3.5478924e-06
mid_danger_saves,3.3778774e-06
power_play_saves,3.1870948e-06
rebound_rate_ewa_3,3.1545649e-06
shots_against_ewa_3,2.6171783e-06
mid_danger_goals_against,2.604424e-06
saves_trend_10,2.570379e-06
high_danger_save_pct,2.5581899e-06
saves_volatility_10,2.4777794e-06
high_danger_xg_against,2.449214e-06
rebound_rate,2.4284957e-06
high_danger_goals_against,2.2708452e-06
shots_against_rolling_3,2.2498828e-06
dangerous_rebound_pct,2.1303604e-06
mid_danger_shots_against,1.7795932e-06
team_powerplay_opportunities,0.0
team_powerplay_goals,0.0
is_starter,0.0
short_handed_save_pct,0.0
pim,0.0
toi_seconds,0.0
team_pim,0.0
