core_event_id,game_date,home_team,away_team,home_abbrev,away_abbrev,team_key,game_id,source,saves_event_id,market_event_id
0072331e02eb0512769109d90ceb3aed,2024-01-17,Florida Panthers,Detroit Red Wings,FLA,DET,DET|FLA,2023020689.0,core_sog,,
0077f6b47c1f0f8715ed317426a2b115,2023-12-23,Minnesota Wild,Boston Bruins,MIN,BOS,BOS|MIN,2023020518.0,core_sog,,
0084535894061363276a25aa92fb467c,2024-02-26,Edmonton Oilers,Los Angeles Kings,EDM,LAK,EDM|LAK,2023020925.0,core_sog,,
00c6d87bba9547744a9bc4b504631ec8,2024-02-17,Montréal Canadiens,Washington Capitals,MTL,WSH,MTL|WSH,2023020857.0,core_sog,,
01b342c64288223e75aeaf06b8c31f3c,2024-03-23,Vancouver Canucks,Calgary Flames,VAN,CGY,CGY|VAN,2023021120.0,core_sog,,
01d32c7ccdd837b2f4647ed1e2dfb6c8,2024-04-11,New York Rangers,Philadelphia Flyers,NYR,PHI,NYR|PHI,2023021257.0,core_sog,,
0255bab760a4f07b95702a0384383c2f,2024-02-13,Boston Bruins,Tampa Bay Lightning,BOS,TBL,BOS|TBL,2023020823.0,core_sog,,
025ef9c08ef3ead34a1982ccf555ee50,2023-10-14,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,DET|TBL,2023020023.0,core_sog,,
026c5272ca65c52e92d289d3cd4e07d8,2024-04-16,Florida Panthers,Toronto Maple Leafs,FLA,TOR,FLA|TOR,2023021297.0,core_sog,,
028a4ca0c45d0f74050712cc221e1e86,2023-12-07,Washington Capitals,Dallas Stars,WSH,DAL,DAL|WSH,2023020396.0,core_sog,,
02cd40f2526f5e216d173cffb46edb55,2024-03-30,Montréal Canadiens,Carolina Hurricanes,MTL,CAR,CAR|MTL,2023021172.0,core_sog,,
0303166bbb6b9229fce8d8cc9f53ea16,2024-02-20,Winnipeg Jets,Minnesota Wild,WPG,MIN,MIN|WPG,2023020880.0,core_sog,,
03073dec858c2e2bf16fc8ae4743d47c,2023-11-24,Philadelphia Flyers,New York Rangers,PHI,NYR,NYR|PHI,2023020294.0,core_sog,,
0314dc0b11a9afab60bfe245cf6459b2,2023-12-07,Vancouver Canucks,Minnesota Wild,VAN,MIN,MIN|VAN,2023020404.0,core_sog,,
03224be865830df98e2d72cf219eb49e,2024-01-16,New York Rangers,Seattle Kraken,NYR,SEA,NYR|SEA,2023020681.0,core_sog,,
038d803750cba4206df5af782e1f94b7,2024-04-08,Vancouver Canucks,Vegas Golden Knights,VAN,VGK,VAN|VGK,2023021238.0,core_sog,,
039979cdd0c6c88124e4eaff67770005,2023-10-27,Washington Capitals,Minnesota Wild,WSH,MIN,MIN|WSH,2023020114.0,core_sog,,
03ba52b68b3e896872c67abaa862b2a1,2024-03-21,Ottawa Senators,St Louis Blues,OTT,STL,OTT|STL,2023021103.0,core_sog,,
03bff0c5e52852dd3b84e8de82ab99bc,2023-11-26,Chicago Blackhawks,St Louis Blues,CHI,STL,CHI|STL,2023020317.0,core_sog,,
03fb0c70abdda766c01c7820bb5dc715,2024-03-23,Nashville Predators,Detroit Red Wings,NSH,DET,DET|NSH,2023021116.0,core_sog,,
042439a1b0eb2b9d1e62e35a432ab113,2024-02-19,Arizona Coyotes,Edmonton Oilers,ARI,EDM,ARI|EDM,2023020871.0,core_sog,,
046e4c8a337cbe954d7e7c729b3b723c,2023-12-16,Calgary Flames,Tampa Bay Lightning,CGY,TBL,CGY|TBL,2023020471.0,core_sog,,
047a97c5b833904b956da6ce7e2a02fc,2024-02-18,Pittsburgh Penguins,Los Angeles Kings,PIT,LAK,LAK|PIT,2023020865.0,core_sog,,
04cbf5b0a1bf30505a39fe0175d2d2b5,2024-03-03,Washington Capitals,Arizona Coyotes,WSH,ARI,ARI|WSH,2023020969.0,core_sog,,
04d1a4e69085023a3cb0d2c58ea1bab3,2023-11-01,Colorado Avalanche,St Louis Blues,COL,STL,COL|STL,2023020143.0,core_sog,,
05077c0f23701728cd482c62887307f9,2023-10-18,Detroit Red Wings,Pittsburgh Penguins,DET,PIT,DET|PIT,2023020050.0,core_sog,,
051fc27bcfb2011d1df4dc2aa2b94b0a,2024-03-25,St Louis Blues,Vegas Golden Knights,STL,VGK,STL|VGK,2023021134.0,core_sog,,
05293721e0748ae20f0cc8f69671a8f7,2023-11-25,Vegas Golden Knights,Arizona Coyotes,VGK,ARI,ARI|VGK,2023020315.0,core_sog,,
0576584357e537400f891c6a366791d8,2023-12-27,New York Rangers,Washington Capitals,NYR,WSH,NYR|WSH,2023020529.0,core_sog,,
0656a73961076ead0c4d9c4829d2876a,2024-03-30,Edmonton Oilers,Anaheim Ducks,EDM,ANA,ANA|EDM,2023021167.0,core_sog,,
0656c2c1c9b2fdcbc0c919d1f4f6af04,2023-11-01,Calgary Flames,Dallas Stars,CGY,DAL,CGY|DAL,2023020142.0,core_sog,,
067dddb8405a71de8b4d4737200324b1,2024-01-13,Florida Panthers,New Jersey Devils,FLA,NJD,FLA|NJD,2023020656.0,core_sog,,
0682ed9250f55741acc40a2fa2570818,2023-12-16,Minnesota Wild,Vancouver Canucks,MIN,VAN,MIN|VAN,2023020461.0,core_sog,,
06a44f3e073d56f49f294cca7600d7f4,2024-03-13,St Louis Blues,Los Angeles Kings,STL,LAK,LAK|STL,2023021041.0,core_sog,,
06a49dbfd3f9d789b6e9c9863870ffa8,2024-02-19,Boston Bruins,Dallas Stars,BOS,DAL,BOS|DAL,2023020867.0,core_sog,,
06a7d936543bda7e911cf21093899183,2023-11-28,Toronto Maple Leafs,Florida Panthers,TOR,FLA,FLA|TOR,2023020329.0,core_sog,,
06b3d61db2f5d880daef1cb80e19b7bd,2024-03-28,Arizona Coyotes,Nashville Predators,ARI,NSH,ARI|NSH,2023021161.0,core_sog,,
06f3d9d312baaba7e63476a618281143,2023-11-30,Winnipeg Jets,Edmonton Oilers,WPG,EDM,EDM|WPG,2023020349.0,core_sog,,
0783edac7064acfc9eaa1cf87217b138,2023-10-11,Toronto Maple Leafs,Montréal Canadiens,TOR,MTL,MTL|TOR,2023020005.0,core_sog,,
