side,threshold,n_eligible_nonpush_quotes,n_eligible_goalie_nights,n_selected_graded_bets,n_selected_goalie_nights,model_roi,blind_same_side_roi,model_minus_blind_roi_delta,bootstrap_lower_ci95,bootstrap_upper_ci95,bootstrap_empty_model_arm_resamples,bootstrap_empty_model_arm_rate,selection_eligible
OVER,0.03,3422,804,1028,264,-0.20806420233463033,-0.16007305669199298,-0.047991145642637345,-0.14486110869500413,0.048247547280799344,0,0.0,True
OVER,0.05,3422,804,777,203,-0.251016731016731,-0.16007305669199298,-0.09094367432473802,-0.20532148274136677,0.023363548971821694,0,0.0,True
OVER,0.07,3422,804,591,151,-0.27857868020304566,-0.16007305669199298,-0.11850562351105268,-0.25344627681669246,0.01659688480154251,0,0.0,True
OVER,0.1,3422,804,289,79,-0.39017301038062285,-0.16007305669199298,-0.23009995368862987,-0.4179427502877128,-0.03191648794906844,0,0.0,True
OVER,0.12,3422,804,166,45,-0.3306024096385542,-0.16007305669199298,-0.1705293529465612,-0.4365858962984755,0.09851228178370118,0,0.0,True
UNDER,0.03,3422,804,1293,327,0.04952822892498068,0.020113968439509057,0.029414260485471626,-0.05015147811201546,0.11139080527789626,0,0.0,True
UNDER,0.05,3422,804,997,253,0.046288866599799375,0.020113968439509057,0.026174898160290318,-0.07058899558748317,0.1260652099575562,0,0.0,True
UNDER,0.07,3422,804,767,200,0.012516297262059987,0.020113968439509057,-0.00759767117744907,-0.12498868365588614,0.11073031990341431,0,0.0,True
UNDER,0.1,3422,804,398,108,-0.09130653266331658,0.020113968439509057,-0.11142050110282564,-0.2833070029040507,0.06497257426792798,0,0.0,True
UNDER,0.12,3422,804,268,70,-0.09276119402985074,0.020113968439509057,-0.1128751624693598,-0.3300707458176945,0.11481541168651743,0,0.0,True
