side,cluster_id,blind_profit_sum,blind_bet_count,model_profit_sum,model_bet_count
OVER,2024020003:8475831,-1.0,1,-1.0,1
OVER,2024020003:8476412,0.79,1,0.0,0
OVER,2024020004:8475683,0.74,1,0.0,0
OVER,2024020004:8476914,0.8500000000000001,1,0.0,0
OVER,2024020005:8475852,-1.0,1,0.0,0
OVER,2024020006:8478470,2.3600000000000003,3,2.3600000000000003,3
OVER,2024020007:8477465,2.7399999999999998,3,0.0,0
OVER,2024020007:8478048,2.75,3,0.0,0
OVER,2024020008:8476945,2.47,3,1.6700000000000002,2
OVER,2024020008:8479973,-3.0,3,-3.0,3
OVER,2024020009:8478435,-2.0,2,0.0,0
OVER,2024020009:8481668,-3.0,3,0.0,0
OVER,2024020010:8478499,1.7200000000000002,2,1.7200000000000002,2
OVER,2024020010:8480382,-2.0,2,0.0,0
OVER,2024020011:8480051,-3.0,3,0.0,0
OVER,2024020011:8480280,-3.0,3,0.0,0
OVER,2024020012:8480045,-3.0,3,0.0,0
OVER,2024020013:8475683,2.79,3,0.0,0
OVER,2024020014:8478024,-3.0,3,0.0,0
OVER,2024020015:8474593,-3.0,3,-3.0,3
OVER,2024020016:8473575,-3.0,3,0.0,0
OVER,2024020016:8478971,-3.0,3,-1.0,1
OVER,2024020017:8475809,-3.0,3,-3.0,3
OVER,2024020017:8479979,2.5700000000000003,3,0.0,0
OVER,2024020018:8478007,-3.0,3,0.0,0
OVER,2024020018:8479406,2.58,3,0.8400000000000001,1
OVER,2024020019:8478406,2.47,3,0.0,0
OVER,2024020019:8480981,2.69,3,2.69,3
OVER,2024020020:8475883,-3.0,3,-3.0,3
OVER,2024020020:8476883,-3.0,3,0.0,0
OVER,2024020021:8476945,2.58,3,2.58,3
OVER,2024020021:8482821,2.7699999999999996,3,0.0,0
OVER,2024020022:8480947,2.5700000000000003,3,0.0,0
OVER,2024020022:8481035,1.62,2,1.62,2
OVER,2024020023:8476412,-2.0,2,0.0,0
OVER,2024020023:8478499,-3.0,3,-3.0,3
OVER,2024020024:8475311,-3.0,3,0.0,0
OVER,2024020024:8480280,1.6600000000000001,2,0.0,0
OVER,2024020025:8482221,-3.0,3,-3.0,3
OVER,2024020026:8476932,-3.0,3,0.0,0
OVER,2024020026:8482446,1.8299999999999998,2,1.8299999999999998,2
OVER,2024020027:8476999,-3.0,3,-3.0,3
OVER,2024020027:8478470,-3.0,3,0.0,0
OVER,2024020028:8477424,-3.0,3,-3.0,3
OVER,2024020029:8476883,3.84,4,0.0,0
OVER,2024020029:8481611,3.3200000000000003,4,0.97,1
OVER,2024020030:8478048,-3.0,3,0.0,0
OVER,2024020030:8478971,2.62,3,2.62,3
OVER,2024020031:8474593,2.79,3,0.0,0
OVER,2024020031:8479292,2.7199999999999998,3,2.7199999999999998,3
OVER,2024020032:8473575,-3.0,3,0.0,0
OVER,2024020032:8479979,2.66,3,2.66,3
OVER,2024020033:8470594,2.46,3,0.0,0
OVER,2024020033:8478916,2.6799999999999997,3,0.0,0
OVER,2024020034:8480193,-3.0,3,0.0,0
OVER,2024020034:8480382,-3.0,3,-1.0,1
OVER,2024020035:8478905,-2.0,2,0.0,0
OVER,2024020035:8481692,2.58,3,0.0,0
OVER,2024020036:8475717,-3.0,3,-3.0,3
OVER,2024020036:8475852,2.5300000000000002,3,1.7400000000000002,2
OVER,2024020037:8480843,2.66,3,0.0,0
OVER,2024020038:8476945,-3.0,3,0.0,0
OVER,2024020038:8479406,1.75,2,0.8799999999999999,1
OVER,2024020039:8475831,-2.0,2,0.0,0
OVER,2024020040:8478435,-2.0,2,0.0,0
OVER,2024020040:8479973,-3.0,3,-3.0,3
OVER,2024020042:8475683,-3.0,3,0.0,0
OVER,2024020042:8480280,-3.0,3,0.0,0
OVER,2024020043:8475311,1.6800000000000002,2,0.8700000000000001,1
